order_date,city,Weather_Type,nonAB_rev,AB_rev,AB_qty,nonAB_qty
12/25/22,Austin,Moderately Hot,18.96601218,26.34836846,1.720918633,1.956175339
12/25/22,Charlotte,Moderately Hot,15.93108364,24.32150269,1.790289333,1.561761269
12/25/22,Washington,Rainy,28.09127813,35.5601376,2.49805753,2.898326408
12/25/22,Phoenix,Moderately Hot,17.9736111,24.60406674,1.697732776,1.794774174
12/25/22,Tulsa,Moderately Cold,15.31298481,22.8280799,1.65821306,1.711813836
12/25/22,New York City,Rainy,20.68288358,33.80606342,2.322049695,1.98702067
12/25/22,Atlanta,Moderately Hot,15.88638416,23.80487003,1.681273447,1.633088252
12/25/22,Houston,Moderately Hot,22.6013909,28.71142309,2.132560259,2.191378779
12/26/22,Austin,Moderately Hot,18.95972788,26.34448123,1.720550843,1.955794297
12/26/22,Tulsa,Moderately Cold,15.30670052,22.82419266,1.65784527,1.711432793
12/26/22,Houston,Moderately Hot,22.5951066,28.70753586,2.132192468,2.190997736
12/26/22,Charlotte,Moderately Hot,15.92479935,24.31761546,1.789921543,1.561380226
12/26/22,New York City,Moderately Cold,20.63592147,33.53946098,2.301365865,1.993322227
12/26/22,Washington,Moderately Cold,28.04431601,35.29353517,2.4773737,2.904627965
12/26/22,Miami,Moderately Hot,18.30506205,20.87233409,1.608033824,1.582850487
12/26/22,Sacramento,Rainy,19.16432264,22.45855438,1.671744263,1.773417061
12/27/22,Washington,Moderately Cold,28.03803172,35.28964793,2.47700591,2.904246922
12/27/22,New York City,Rainy,20.67031499,33.79828895,2.321314115,1.986258585
12/27/22,Sacramento,Rainy,19.15803834,22.45466714,1.671376473,1.773036018
12/27/22,Charlotte,Moderately Hot,15.91851505,24.31372822,1.789553753,1.560999184
12/27/22,Houston,Moderately Hot,22.58882231,28.70364862,2.131824678,2.190616694
12/27/22,Miami,Moderately Hot,18.29877775,20.86844686,1.607666034,1.582469444
12/27/22,Atlanta,Moderately Hot,15.87381556,23.79709556,1.680537867,1.632326167
12/28/22,Austin,Moderately Hot,18.94715929,26.33670676,1.719815263,1.955032212
12/28/22,Miami,Moderately Hot,18.29249346,20.86455962,1.607298244,1.582088401
12/28/22,Washington,Moderately Cold,28.03174742,35.2857607,2.476638119,2.903865879
12/28/22,Phoenix,Moderately Cold,17.75528226,24.52783702,1.700045488,1.775450543
12/28/22,Sacramento,Rainy,19.15175404,22.45077991,1.671008682,1.772654976
12/28/22,Atlanta,Moderately Hot,15.86753127,23.79320832,1.680170077,1.631945125
12/28/22,Sacramento,Moderately Cold,19.11107622,22.18806471,1.650692642,1.779337575
12/28/22,Houston,Moderately Hot,22.58253801,28.69976139,2.131456888,2.190235651
12/28/22,Charlotte,Moderately Hot,15.91223075,24.30984099,1.789185963,1.560618141
12/29/22,Houston,Moderately Hot,22.57625372,28.69587415,2.131089098,2.189854608
12/29/22,Washington,Rainy,28.06614095,35.54458866,2.49658637,2.896802238
12/29/22,Miami,Moderately Hot,18.28620916,20.86067239,1.606930454,1.581707359
12/29/22,New York City,Rainy,20.6577464,33.79051448,2.320578535,1.9854965
12/29/22,Austin,Moderately Hot,18.940875,26.33281952,1.719447473,1.954651169
12/29/22,Sacramento,Rainy,19.14546975,22.44689267,1.670640892,1.772273933
12/29/22,Atlanta,Rainy,15.70244884,23.98746827,1.703534409,1.60670098
12/30/22,Houston,Moderately Hot,22.56996942,28.69198692,2.130721308,2.189473566
12/30/22,Washington,Rainy,28.05985665,35.54070143,2.496218579,2.896421195
12/30/22,Sacramento,Moderately Cold,19.09850763,22.18029024,1.649957062,1.77857549
12/30/22,Phoenix,Moderately Cold,17.74271366,24.52006255,1.699309908,1.774688458
12/30/22,Austin,Moderately Hot,18.9345907,26.32893229,1.719079683,1.954270126
12/30/22,Phoenix,Outliers,18.55052731,23.90680612,1.658611177,1.81466884
12/30/22,Tulsa,Moderately Cold,15.28156333,22.80864372,1.65637411,1.709908623
12/30/22,New York City,Rainy,20.6514621,33.78662724,2.320210745,1.985115457
12/30/22,Atlanta,Rainy,15.69616454,23.98358103,1.703166619,1.606319937
12/30/22,Miami,Moderately Hot,18.27992486,20.85678515,1.606562664,1.581326316
12/30/22,Charlotte,Rainy,15.74086403,24.5002137,1.812182505,1.534992954
12/31/22,Charlotte,Moderately Hot,15.89337786,24.29817928,1.788082592,1.559475013
12/31/22,Washington,Moderately Hot,28.21237049,35.33866701,2.472118667,2.920903255
12/31/22,Houston,Moderately Hot,22.56368512,28.68809968,2.130353518,2.189092523
12/31/22,Tulsa,Rainy,15.31595686,23.06747168,1.67632236,1.702844981
12/31/22,Sacramento,Moderately Cold,19.09222333,22.176403,1.649589272,1.778194447
12/31/22,New York City,Rainy,20.64517781,33.78274001,2.319842955,1.984734415
12/31/22,Miami,Moderately Hot,18.27364057,20.85289792,1.606194874,1.580945274
12/31/22,Austin,Moderately Hot,18.9283064,26.32504505,1.718711893,1.953889084
